"level","interval_name","color","late_age","early_age","reference_no"
"1","Phanerozoic","#9AD9DD","0.00000","541.00000","47900"
"1","Proterozoic","#F73563","541.00000","2500.00000","47900"
"1","Archean","#F0047F","2500.00000","4000.00000","15443"
"1","Hadean","#AE027E","4000.00000","4600.00000","5954"
"2","Cenozoic","#F2F91D","0.00000","66.00000","47900"
"2","Mesozoic","#67C5CA","66.00000","252.17000","47900"
"2","Paleozoic","#99C08D","252.17000","541.00000","47900"
"2","Neoproterozoic","#FEB342","541.00000","1000.00000","47900"
"2","Mesoproterozoic","#FDB462","1000.00000","1600.00000","47900"
"2","Paleoproterozoic","#F74370","1600.00000","2500.00000","47900"
"2","Neoarchean","#F99BC1","2500.00000","2800.00000","15443"
"2","Mesoarchean","#F768A9","2800.00000","3200.00000","15443"
"2","Paleoarchean","#F444A9","3200.00000","3600.00000","15443"
"2","Eoarchean","#DA037F","3600.00000","4000.00000","15443"
"3","Quaternary","#F9F97F","0.00000","2.58800","47900"
"3","Neogene","#FFE619","2.58800","23.03000","47900"
"3","Paleogene","#FD9A52","23.03000","66.00000","47900"
"3","Cretaceous","#7FC64E","66.00000","145.00000","47900"
"3","Jurassic","#34B2C9","145.00000","201.30000","47900"
"3","Triassic","#812B92","201.30000","252.17000","47900"
"3","Permian","#F04028","252.17000","298.90000","47900"
"3","Carboniferous","#67A599","298.90000","358.90000","47900"
"3","Devonian","#CB8C37","358.90000","419.20000","47900"
"3","Silurian","#B3E1B6","419.20000","443.40000","47900"
"3","Ordovician","#009270","443.40000","485.40000","47900"
"3","Cambrian","#7FA056","485.40000","541.00000","47900"
"3","Ediacaran","#FED96A","541.00000","635.00000","47900"
"3","Cryogenian","#FECC5C","635.00000","850.00000","47900"
"3","Tonian","#FEBF4E","850.00000","1000.00000","47900"
"3","Stenian","#FED99A","1000.00000","1200.00000","47900"
"3","Ectasian","#F3CC8A","1200.00000","1400.00000","47900"
"3","Calymmian","#FDC07A","1400.00000","1600.00000","47900"
"3","Statherian","#F875A7","1600.00000","1800.00000","47900"
"3","Orosirian","#F76898","1800.00000","2050.00000","47900"
"3","Rhyacian","#F75B89","2050.00000","2300.00000","47900"
"3","Siderian","#F74F7C","2300.00000","2500.00000","47900"
"4","Holocene","#FEF2E0","0.00000","0.01170","47900"
"4","Pleistocene","#FFF2AE","0.01170","2.58800","47900"
"4","Pliocene","#FFFF99","2.58800","5.33300","47900"
"4","Miocene","#FFFF00","5.33300","23.03000","47900"
"4","Oligocene","#FDC07A","23.03000","33.90000","47900"
"4","Eocene","#FDB46C","33.90000","56.00000","47900"
"4","Paleocene","#FDA75F","56.00000","66.00000","47900"
"4","Late Cretaceous","#A6D84A","66.00000","100.50000","47900"
"4","Early Cretaceous","#8CCD57","100.50000","145.00000","47900"
"4","Late Jurassic","#B3E3EE","145.00000","163.50000","47900"
"4","Middle Jurassic","#80CFD8","163.50000","174.10000","47900"
"4","Early Jurassic","#42AED0","174.10000","201.30000","47900"
"4","Late Triassic","#BD8CC3","201.30000","237.00000","47900"
"4","Middle Triassic","#B168B1","237.00000","247.20000","47900"
"4","Early Triassic","#983999","247.20000","252.17000","47900"
"4","Lopingian","#FBA794","252.17000","259.90000","47900"
"4","Guadalupian","#FB745C","259.90000","272.30000","47900"
"4","Cisuralian","#EF5845","272.30000","298.90000","47900"
"4","Pennsylvanian","#99C2B5","298.90000","323.20000","47900"
"4","Mississippian","#678F66","323.20000","358.90000","47900"
"4","Late Devonian","#F1E19D","358.90000","382.70000","47900"
"4","Middle Devonian","#F1C868","382.70000","393.30000","47900"
"4","Early Devonian","#E5AC4D","393.30000","419.20000","47900"
"4","Pridoli","#E6F5E1","419.20000","423.00000","47900"
"4","Ludlow","#BFE6CF","423.00000","427.40000","47900"
"4","Wenlock","#B3E1C2","427.40000","433.40000","47900"
"4","Llandovery","#99D7B3","433.40000","443.40000","47900"
"4","Late Ordovician","#7FCA93","443.40000","458.40000","47900"
"4","Middle Ordovician","#4DB47E","458.40000","470.00000","47900"
"4","Early Ordovician","#1A9D6F","470.00000","485.40000","47900"
"4","Furongian","#B3E095","485.40000","497.00000","47900"
"4","Series 3","#A6CF86","497.00000","509.00000","47900"
"4","Series 2","#99C078","509.00000","521.00000","47900"
"4","Terreneuvian","#8CB06C","521.00000","541.00000","47900"
"5","Holocene","#FEF2E0","0.00000","0.01170","47900"
"5","Late Pleistocene","#FFF2D3","0.01170","0.12600","15443"
"5","Middle Pleistocene","#FFF2C7","0.12600","0.78100","15443"
"5","Calabrian","#FFF2BA","0.78100","1.80600","47900"
"5","Gelasian","#FFEDB3","1.80600","2.58800","47900"
"5","Piacenzian","#FFFFBF","2.58800","3.60000","47900"
"5","Zanclean","#FFFFB3","3.60000","5.33300","47900"
"5","Messinian","#FFFF73","5.33300","7.24600","47900"
"5","Tortonian","#FFFF66","7.24600","11.62000","47900"
"5","Serravallian","#FFFF59","11.62000","13.82000","47900"
"5","Langhian","#FFFF4D","13.82000","15.97000","47900"
"5","Burdigalian","#FFFF41","15.97000","20.44000","47900"
"5","Aquitanian","#FFFF33","20.44000","23.03000","47900"
"5","Chattian","#FEE6AA","23.03000","28.10000","47900"
"5","Rupelian","#FED99A","28.10000","33.90000","47900"
"5","Priabonian","#FDCDA1","33.90000","38.00000","47900"
"5","Bartonian","#FDC091","38.00000","41.30000","47900"
"5","Lutetian","#FCB482","41.30000","47.80000","47900"
"5","Ypresian","#FCA773","47.80000","56.00000","47900"
"5","Thanetian","#FDBF6F","56.00000","59.20000","47900"
"5","Selandian","#FEBF65","59.20000","61.60000","47900"
"5","Danian","#FDB462","61.60000","66.00000","47900"
"5","Maastrichtian","#F2FA8C","66.00000","72.10000","47900"
"5","Campanian","#E6F47F","72.10000","83.60000","47900"
"5","Santonian","#D9EF74","83.60000","86.30000","47900"
"5","Coniacian","#CCE968","86.30000","89.80000","47900"
"5","Turonian","#BFE35D","89.80000","93.90000","47900"
"5","Cenomanian","#B3DE53","93.90000","100.50000","47900"
"5","Albian","#CCEA97","100.50000","113.00000","47900"
"5","Aptian","#BFE48A","113.00000","125.00000","47900"
"5","Barremian","#B3DF7F","125.00000","129.40000","47900"
"5","Hauterivian","#A6D975","129.40000","132.90000","47900"
"5","Valanginian","#99D36A","132.90000","139.80000","47900"
"5","Berriasian","#8CCD60","139.80000","145.00000","47900"
"5","Tithonian","#D9F1F7","145.00000","152.10000","47900"
"5","Kimmeridgian","#CCECF4","152.10000","157.30000","47900"
"5","Oxfordian","#BFE7F1","157.30000","163.50000","47900"
"5","Callovian","#BFE7E5","163.50000","166.10000","47900"
"5","Bathonian","#B3E2E3","166.10000","168.30000","47900"
"5","Bajocian","#A6DDE0","168.30000","170.30000","47900"
"5","Aalenian","#9AD9DD","170.30000","174.10000","47900"
"5","Toarcian","#99CEE3","174.10000","182.70000","47900"
"5","Pliensbachian","#80C5DD","182.70000","190.80000","47900"
"5","Sinemurian","#67BCD8","190.80000","199.30000","47900"
"5","Hettangian","#4EB3D3","199.30000","201.30000","47900"
"5","Rhaetian","#E3B9DB","201.30000","208.50000","47900"
"5","Norian","#D6AAD3","208.50000","228.00000","47900"
"5","Carnian","#C99BCB","228.00000","237.00000","47900"
"5","Ladinian","#C983BF","237.00000","242.00000","47900"
"5","Anisian","#BC75B7","242.00000","247.20000","47900"
"5","Olenekian","#B051A5","247.20000","251.20000","47900"
"5","Induan","#A4469F","251.20000","252.17000","47900"
"5","Changhsingian","#FCC0B2","252.17000","254.17000","9184"
"5","Wuchiapingian","#FCB4A2","254.17000","259.90000","9184"
"5","Capitanian","#FB9A85","259.90000","265.10000","5954"
"5","Wordian","#FB8D76","265.10000","268.80000","5954"
"5","Roadian","#FB8069","268.80000","272.30000","9184"
"5","Kungurian","#E38776","272.30000","279.30000","5954"
"5","Artinskian","#E37B68","279.30000","290.10000","5954"
"5","Sakmarian","#E36F5C","290.10000","295.50000","5954"
"5","Asselian","#E36350","295.50000","298.90000","5954"
"5","Gzhelian","#CCD4C7","298.90000","303.70000","5954"
"5","Kasimovian","#BFD0C5","303.70000","307.00000","5954"
"5","Moscovian","#B3CBB9","307.00000","315.20000","5954"
"5","Bashkirian","#99C2B6","315.20000","323.20000","5954"
"5","Serpukhovian","#BFC26B","323.20000","330.90000","5954"
"5","Visean","#A6B96C","330.90000","346.70000","5954"
"5","Tournaisian","#8CB06C","346.70000","358.90000","5954"
"5","Famennian","#F2EDC5","358.90000","372.20000","47900"
"5","Frasnian","#F2EDAD","372.20000","382.70000","47900"
"5","Givetian","#F1E185","382.70000","387.70000","47900"
"5","Eifelian","#F1D576","387.70000","393.30000","47900"
"5","Emsian","#E5D075","393.30000","407.60000","47900"
"5","Pragian","#E5C468","407.60000","410.80000","47900"
"5","Lochkovian","#E5B75A","410.80000","419.20000","47900"
"5","Pridoli","#E6F5E1","419.20000","423.00000","47900"
"5","Ludfordian","#D9F0DF","423.00000","425.60000","47900"
"5","Gorstian","#CCECDD","425.60000","427.40000","47900"
"5","Homerian","#CCEBD1","427.40000","430.50000","47900"
"5","Sheinwoodian","#BFE6C3","430.50000","433.40000","47900"
"5","Telychian","#BFE6D1","433.40000","438.50000","47900"
"5","Aeronian","#B3E1C2","438.50000","440.80000","47900"
"5","Rhuddanian","#A6DCB5","440.80000","443.40000","47900"
"5","Hirnantian","#A6DBAB","443.40000","445.20000","47900"
"5","Katian","#99D69F","445.20000","453.00000","47900"
"5","Sandbian","#8CD094","453.00000","458.40000","47900"
"5","Darriwilian","#74C69C","458.40000","467.30000","47900"
"5","Dapingian","#66C092","467.30000","470.00000","47900"
"5","Floian","#41B087","470.00000","477.70000","47900"
"5","Tremadocian","#33A97E","477.70000","485.40000","47900"
"5","Stage 10","#E6F5C9","485.40000","489.50000","47900"
"5","Jiangshanian","#D9F0BB","489.50000","494.00000","47900"
"5","Paibian","#CCEBAE","494.00000","497.00000","47900"
"5","Guzhangian","#CCDFAA","497.00000","500.50000","47900"
"5","Drumian","#BFD99D","500.50000","504.50000","47900"
"5","Stage 5","#B3D492","504.50000","509.00000","47900"
"5","Stage 4","#B3CA8E","509.00000","514.00000","47900"
"5","Stage 3","#A6C583","514.00000","521.00000","47900"
"5","Stage 2","#A6BA80","521.00000","529.00000","47900"
"5","Fortunian","#99B575","529.00000","541.00000","47900"
